"status","mentioned_name","match_count","matched_people","years","candidate_names","relationships","claim_texts"
"found","李俊毅","1","李俊毅 [4c3e4485-62c7-49a5-af9e-c1753c8f9e76]","2018 | 2022","翁語含","姨丈","姨丈是5屆立委、民進黨副秘書長李俊毅 | 姨丈是曾任5屆立委、民進黨副秘書長的李俊毅"
"not_found","李秋惠","0","","2018 | 2022","黃成峻","媽媽 | 母親","媽媽是前市民代表李秋惠 | 母親是曾任市民代表的李秋惠"
"ambiguous_same_name","李茂雄","2","李茂雄 [8ad5c6b1-8ef8-4060-a00a-cb83a05e1935] | 李茂雄 [c19e4df2-8426-440a-bebf-5f6ea3da35e9]","2018 | 2022","李倩萍","爸爸 | 父親","爸爸是蘆洲九芎里里長李茂雄 | 父親是蘆洲九芎里里長李茂雄"
"ambiguous_same_name","李香蘭","2","李香蘭 [94eff20a-301c-4240-b97e-a16a8d197378] | 李香蘭 [26df1ee5-2776-4d5e-94de-15f4a17f6e91]","2018 | 2022","李雨庭","姊姊","姊姊是屏縣議員李香蘭"
"not_found","李真和","0","","2018 | 2022","李雨庭","爸爸 | 父親","爸爸是前屏東縣議員李真和 | 父親是前屏東縣議員李真和"
"not_found","李務","0","","2018 | 2022","郭昭巖","外公 | 祖父","外公是2屆議員李務 | 祖父是2屆議員李務"
"found","李雲強","1","李雲強 [7758c0be-de7a-4bfd-b146-6b5eb190b983]","2022","孫韻璇","丈夫","丈夫是曾任2屆議員的李雲強"
"not_found","李黃恆貞","0","","2018 | 2022","郭昭巖","外婆 | 祖母","外婆是1屆省議員、2屆市議員及2屆國大代表李黃恆貞 | 祖母是1屆省議員、2屆市議員及2屆國大代表李黃恆貞"
"not_found","李新","0","","2018 | 2022","李柏毅","爸爸 | 父親","爸爸是5屆議員、新黨發起人之一李新 | 父親是5屆議員、新黨發起人之一李新"
"not_found","李榮宗","0","","2018 | 2022","李眉蓁","爸爸 | 父親","爸爸是前議員李榮宗 | 父親是親民黨前議員李榮宗"
"found","李榮鴻","1","李榮鴻 [fc1c590a-579f-4467-968f-0c5003a92f96]","2022","李文傑","父親","父親是3屆議員李榮鴻"
"not_found","李福人","0","","2022","李彥秀","祖父","祖父是南港鎮民代表、1屆台北縣議員的李福人"
"not_found","李銀來","0","","2018 | 2022","李芳儒","爸爸 | 父親","爸爸是4屆議員李銀來 | 父親是4屆議員李銀來"
"not_found","李慶信","0","","2018 | 2022","李中岑","爸爸 | 父親","爸爸是前議員李慶信 | 父親是2屆議員李慶信"
"not_found","李鎮楠","0","","2018 | 2022","林俐玲 | 李宗豪","丈夫 | 父親","丈夫是立委、2屆議員李鎮楠 | 父親是曾任龜山鄉代表、2屆議員、2屆立委的李鎮楠"
"ambiguous_same_name","李麗華","2","李麗華 [8d12f43f-752f-4af6-8073-77dc9609cb2a] | 李麗華 [829f0b8e-bcb6-4aa9-9807-dc7153a31b8f]","2022","黃佳恬","母親","母親是4屆議員李麗華"
"not_found","沈美英","0","","2022","吳訓孝","母親","母親是是三重區工商企管婦女會理事長沈美英"
"ambiguous_same_name","沈智慧","2","沈智慧 [7e87f30a-ff8d-4bbd-af3f-4cbcaf6952d2] | 沈智慧 [7036d3a4-38fe-4cc8-9553-e9d663188f42]","2018 | 2022","沈佑蓮","姊姊","姊姊是6屆立委沈智慧"
"found","沈廉哲","1","沈廉哲 [6dd91244-5a41-4923-a4bd-90df314ad613]","2018 | 2022","沈震東","爸爸 | 父親","爸爸是5屆水仙里里長沈廉哲 | 父親是5屆水仙里里長沈廉哲"
"not_found","卓建鴻","0","","2022","卓冠廷","父親","父親是曾擔任鶯歌鎮民代表會副主席的卓建鴻（改名前叫卓建國）"
"not_found","周五六","0","","2018 | 2022","周奕齊","爸爸 | 父親","爸爸是4屆議員（前議長）、前立委周五六 | 父親是4屆議員、議長、立委的周五六"
"not_found","周平德","0","","2018","周玲妏","爸爸","爸爸是曾因美麗島事件入獄、民進黨高雄市黨部首任主委、國大代表的周平德"
"not_found","周明德","0","","2018 | 2022","周麗津","爸爸 | 父親","爸爸是3屆議員周明德 | 父親是3屆議員周明德"
"found","周金福","1","周金福 [3d76c85f-80a3-44d2-83cd-501145adfd69]","2018","周佳錚","爸爸","爸爸是鼓山區龍水里里長周金福"
"not_found","周陳秀霞","0","","2018 | 2022","周奕齊","媽媽 | 母親","媽媽是親民黨不分區立委周陳秀霞 | 母親是親民黨不分區立委周陳秀霞"
"ambiguous_same_name","忠仁達祿斯","2","忠仁．達祿斯 [f00173e1-0f4b-462b-b739-302fc0122570] | 忠仁．達祿斯 [ba1f6eba-e719-4141-b706-91f782fa1cd2]","2022","藞妏．尼卡兒","丈夫","丈夫是前新北市議員忠仁達祿斯"
"not_found","拔耐茹妮老王","0","","2022","呂儀恬","母親","母親是本次參選基隆平地原住民議員的拔耐．茹妮老王"
"not_found","林士昌","0","","2018 | 2022","林孟令","爸爸 | 父親","爸爸是2屆議長、2屆副議長、2屆龍井鄉鄉長、代表會主席林士昌 | 父親是2屆議長、2屆副議長、2屆龍井鄉鄉長、代表會主席林士昌"
"not_found","林文郎","0","","2018 | 2022","林瑞圖","叔叔","叔叔是前立委林文郎"
"found","林汝洲","1","林汝洲 [e632d8e5-e7b0-4e28-b537-fa4a193dd27f]","2022","林昊佑","父親","父親是1屆議員、2屆大肚鄉鄉長、2屆大肚鄉鄉民代表林汝洲"
